NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,MaterialComposition,Tcurie (degree C),T (degree C),epsilon,Frequency (Hz),Family,PaperID
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,335.4794416,3556.226838,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,345.6317259,3536.495282,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,355.7840102,3472.591947,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,364.6672589,3452.872847,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",326.85,374.8195431,3403.693438,5000,PZT,2008_ortega_enhancedPolarization_PZT
4,0.648962249,0.609430266,0.600542001,0.600040609,0.600001025,27.832,74,24.684864,82,8,8,77.124,44,13.4016,87,43,87,65.989308,191.2006,62.74248042,207.2,15.9994,15.9994,564.39,2073.2,611.508,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.324,4,1.5888,6,2,2,102.66,109,43.992,175,66,66,2.81196,2.11,0.753648,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.22962,19.005,7.349544,28.11,9.105,9.105,0,0,0,0,0,0,1.71E-06,2.25E-05,3.16E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.233317696,"Pb,1,Zr,0.62,Ti,0.38,O,3",20,20,453.9988975,100000,PZT,1999_soares_phaseCoexistence_PZT
4,0.64869099,0.609335476,0.600536324,0.600040346,0.600001022,27.76,74,24.6336,82,8,8,77.12,44,13.408,87,43,87,65.81588,191.2006,62.6515968,207.2,15.9994,15.9994,563.642,2073.2,610.6104,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.32,4,1.584,6,2,2,102.6,109,43.92,175,66,66,2.8128,2.11,0.75264,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.2036,19.005,7.31832,28.11,9.105,9.105,0,0,0,0,0,0,1.80E-06,2.25E-05,3.32E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232829219,"Pb,1,Zr,0.6,Ti,0.4,O,3",20,20,484.139927,100000,PZT,1999_soares_phaseCoexistence_PZT
4,0.648376434,0.609225569,0.600529863,0.600040057,0.60000102,27.652,74,24.554544,82,8,8,77.114,44,13.4176,87,43,87,65.555738,191.2006,62.51006854,207.2,15.9994,15.9994,562.52,2073.2,609.264,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.314,4,1.5768,6,2,2,102.51,109,43.812,175,66,66,2.81406,2.11,0.751128,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.16457,19.005,7.271484,28.11,9.105,9.105,0,0,0,0,0,0,1.94E-06,2.25E-05,3.54E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.232095189,"Pb,1,Zr,0.57,Ti,0.43,O,3",20,20,562.3492661,100000,PZT,1999_soares_phaseCoexistence_PZT
4,0.648228355,0.609173835,0.600526867,0.600039928,0.600001019,27.58,74,24.5004,82,8,8,77.11,44,13.424,87,43,87,65.38231,191.2006,62.4122478,207.2,15.9994,15.9994,561.772,2073.2,608.3664,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.31,4,1.572,6,2,2,102.45,109,43.74,175,66,66,2.8149,2.11,0.75012,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.13855,19.005,7.24026,28.11,9.105,9.105,0,0,0,0,0,0,2.03E-06,2.25E-05,3.69E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.231604959,"Pb,1,Zr,0.55,Ti,0.45,O,3",20,20,643.2459747,100000,PZT,1999_soares_phaseCoexistence_PZT
4,0.648172816,0.609154432,0.600525751,0.60003988,0.600001019,27.544,74,24.472896,82,8,8,77.108,44,13.4272,87,43,87,65.295596,191.2006,62.36229686,207.2,15.9994,15.9994,561.398,2073.2,607.9176,2128,54.8,54.8,13.2,12,3.68,16,4,16,3.308,4,1.5696,6,2,2,102.42,109,43.704,175,66,66,2.81532,2.11,0.749616,3.44,1.33,3.44,2,0,0,2,2,2,2.8,4,1.44,4,0,4,2.4,10,3.04,10,0,0,2.8,14,4.48,14,0,0,10,24,7.2,28,4,6,0,0,0,0,0,0,2,4,0.8,4,0,2,1.6,8,2.56,8,0,0,0,0,0,0,0,0,3.6,6,1.92,8,2,2,15.12554,19.005,7.224648,28.11,9.105,9.105,0,0,0,0,0,0,2.07E-06,2.25E-05,3.76E-06,2.25E-05,0,0,91,213,94.8,225,12,12,0.2,0.28,0.24,0.28,1,0.671436448,0.23135958,"Pb,1,Zr,0.54,Ti,0.46,O,3",20,20,861.3593036,100000,PZT,1999_soares_phaseCoexistence_PZT
